campaign_id,campaign_name,channel,impressions,clicks,spend,date
FB363,Winter Sale 2025 Update 7,Facebook,14430,593,212.27,2025-04-27
GG793,Remarketing Sale Campaign Update 4,LinkedIn,15505,427,315.91,2025-04-30
GG937,Remarketing Sale Campaign Update 2,LinkedIn,14550,957,338.83,2025-04-30
FB282,Winter Sale 2025 Update 3,Facebook,10875,590,339.32,2025-04-29
LN286,Product Launch Webinar Update 3,Facebook,14132,717,352.57,2025-04-27
GG352,Brand Awareness Push Update 9,LinkedIn,10285,523,319.73,2025-04-30
GG793,Remarketing Sale Campaign Update 2,Google,14264,588,353.38,2025-04-29
LN190,Professional Skills Workshop Update 6,Facebook,11433,781,363.1,2025-04-29
LN397,Winter B2B Campaign Update 2,LinkedIn,17618,922,280.22,2025-04-28
LN845,Product Launch Webinar Update 7,Facebook,10120,870,297.24,2025-04-27
LN232,Product Launch Webinar Update 2,Facebook,16781,591,369.3,2025-04-30
FB666,Spring Collection Launch Update 4,LinkedIn,16154,489,307.29,2025-04-28
FB429,Spring Collection Launch Update 3,LinkedIn,16802,599,424.08,2025-05-01
FB893,Spring Collection Launch Update 9,Google,19930,503,472.63,2025-04-27
GG496,End of Year Sale Update 5,LinkedIn,12080,631,473.95,2025-04-27
FB906,Summer Flash Sale Update 5,Facebook,14774,525,289.15,2025-04-27
GG793,Remarketing Sale Campaign Update 9,Facebook,18127,773,361.02,2025-04-30
LN511,Professional Skills Workshop Update 4,LinkedIn,14160,985,284.9,2025-05-01
GG229,End of Year Sale Update 6,Google,18199,829,259.59,2025-05-01
LN984,Product Launch Webinar Update 3,Google,16031,783,279.02,2025-04-30
FB227,Christmas Countdown Update 4,LinkedIn,15215,673,351.13,2025-04-27
GG326,Brand Awareness Push Update 8,Google,15543,401,365.06,2025-04-28
LN802,B2B Networking Event Update 1,Google,15246,874,253.31,2025-04-29
GG287,Holiday Discounts Update 6,Facebook,15088,532,497.73,2025-04-29
FB353,Winter Sale 2025 Update 3,Facebook,19898,931,237.82,2025-04-29
GG302,Search Winter Promo Update 4,LinkedIn,13409,643,203.92,2025-05-01
FB567,Black Friday Teaser Update 2,LinkedIn,16286,423,357.83,2025-05-01
LN949,Product Launch Webinar Update 6,Google,15080,461,259.43,2025-04-27
LN443,Industry Insights Campaign Update 7,Google,19217,602,397.31,2025-04-29
LN539,Industry Insights Campaign Update 6,Google,10171,652,311.16,2025-04-27
